Generation: 1 | Drone: 79 | Score: 216.0 | Explored Cells: 16 of 900 total cells
Generation: 2 | Drone: 0 | Score: 216.0 | Explored Cells: 16 of 900 total cells
Generation: 3 | Drone: 4 | Score: 217.7843362490336 | Explored Cells: 19 of 900 total cells
Generation: 4 | Drone: 1 | Score: 218.0 | Explored Cells: 18 of 900 total cells
Generation: 5 | Drone: 0 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 6 | Drone: 140 | Score: 220.0 | Explored Cells: 20 of 900 total cells
Generation: 7 | Drone: 1 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 8 | Drone: 2 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 9 | Drone: 0 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 10 | Drone: 4 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 11 | Drone: 0 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 12 | Drone: 4 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 13 | Drone: 2 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 14 | Drone: 8 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 15 | Drone: 3 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 16 | Drone: 1 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 17 | Drone: 1 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 18 | Drone: 0 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 19 | Drone: 4 | Score: 220.0 | Explored Cells: 20 of 900 total cells
Generation: 20 | Drone: 0 | Score: 220.0 | Explored Cells: 20 of 900 total cells
Generation: 21 | Drone: 172 | Score: 221.56803997357687 | Explored Cells: 22 of 900 total cells
Generation: 22 | Drone: 0 | Score: 220.96537836392721 | Explored Cells: 23 of 900 total cells
Generation: 23 | Drone: 0 | Score: 221.75020146369934 | Explored Cells: 23 of 900 total cells
Generation: 24 | Drone: 5 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 25 | Drone: 59 | Score: 220.0 | Explored Cells: 20 of 900 total cells
Generation: 26 | Drone: 110 | Score: 220.0 | Explored Cells: 20 of 900 total cells
Generation: 27 | Drone: 1 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 28 | Drone: 64 | Score: 219.82440964380902 | Explored Cells: 21 of 900 total cells
Generation: 29 | Drone: 0 | Score: 219.0 | Explored Cells: 19 of 900 total cells
Generation: 30 | Drone: 142 | Score: 219.510684410731 | Explored Cells: 20 of 900 total cells
Generation: 31 | Drone: 2 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 32 | Drone: 83 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 33 | Drone: 48 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 34 | Drone: 1 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 35 | Drone: 2 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 36 | Drone: 2 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 37 | Drone: 161 | Score: 220.10999417304993 | Explored Cells: 21 of 900 total cells
Generation: 38 | Drone: 0 | Score: 220.50591405232748 | Explored Cells: 21 of 900 total cells
Generation: 39 | Drone: 142 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 40 | Drone: 63 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 41 | Drone: 148 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 42 | Drone: 2 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 43 | Drone: 6 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 44 | Drone: 1 | Score: 220.0 | Explored Cells: 20 of 900 total cells
Generation: 45 | Drone: 0 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 46 | Drone: 2 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 47 | Drone: 3 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 48 | Drone: 0 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 49 | Drone: 0 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 50 | Drone: 1 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 51 | Drone: 1 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 52 | Drone: 1 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 53 | Drone: 5 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 54 | Drone: 0 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 55 | Drone: 8 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 56 | Drone: 5 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 57 | Drone: 2 | Score: 221.0 | Explored Cells: 21 of 900 total cells
Generation: 58 | Drone: 52 | Score: 222.0 | Explored Cells: 22 of 900 total cells
Generation: 59 | Drone: 105 | Score: 223.0 | Explored Cells: 23 of 900 total cells
